text,topic
i feel awful about it too because it s my job to get him in a position to succeed and it just didn t happen here,work
i was struggling with these awful feelings and was saying such sweet things about not deserving my and my sisters friendship and we agreed well she was in her car just starting to drive away when she reached out her hand,friends
i feel weird knowing mine died when i wasn t around,family
i slept horribly and i m feeling doubtful about everything like why can t i manage to figure out how to save more money,sleep
i was still feeling pretty discouraged when a friend of mine shared a verse with me may the god of hope fill you with all joy and peace as you trust in him so that you may overflow with hope by the power of the holy spirit,friends
i find myself feeling quite distressed by approaching each meal with concern,food
i told the designer that it was very fitting for me because im always feeling like i dont belong in my job with my friends with my creative aspirations,friends
im feeling low or going through something difficult why is that the time that close friends choose to be moody or weird,friends
i am eating and also the way i feel although i do still feel groggy without the caffeine to wake me up that is something i am ok with as long as i dont have the heartburn and headaches,food
i feel shitty when im at work not doing much and not contributing to the bottom line because im not motivated i feel like a leech but i get paid and i dont turn it down,work
im guessing my nutrient poor carb dinner the night before had something to do with how i was feeling which was crappy with a huge side of hunger,food
i feel a tender and still tentative unfurling of innocent desire towards my mate,love
im not typing this right now feeling all lethargic and buzzed up from all the food and drink like the old joe would have,food
im back at my doctors tomorrow for the results of a blood test and to pick up a prescription if im still feeling as bad tomorrow as i am right now im going to mention something and hopefully get an appointment,health
i tend to keep my mouth shut because im not well enough informed but when it comes to public education i can speak what i feel because thats one topic im passionate about and do my best to keep up with,school
football was a very big deal at my high school,school
i have always believed that love lives on that the feelings we have that are kind generous and accepting of others as they are exist independently of whether we decide to move on or not,love
i tried to be empathetic pretended to be empathetic and acted as if i was making sure to put the needs of my family before my own for example but keenly aware of feeling resentful at the same time,family
i am feeling depressed so having a giant apple pie in my face was not particularly a good idea,food
i like them no i love them i feel happy at the sight of them but i don t know what need have i of them or rather they of me,love
i don t feel as if i m smart enough to accomplish my goals or to even socialize with other people i don t believe i m pretty i constantly eat and have lost the motivation to lose weight and be happy,food
i was upset most of the time during my birthday due to my assignment and also because of my parents forgetting about my birthday this year there were my friends who really brighten up my day and made me feel loved at the same time,friends
i feel he that wonderful young man who drives himself in every way taking off on an adventure with his best friends from elementary school i felt so happy for him,friends
i don t have very many cookie cutters since i make cookies but once per year maybe twice if i m feeling benevolent,food
i have myself fallen victim to the sheltering scheme in the homeschool world and am feeling so hopeless and lost right now this goes back to a href http www,school
i love this i m feeling a romantic season coming on posted on wednesday th january,love
i used the zpg tools in a particular way while i slept and that feeling of misalignment resolved itself,sleep
i love mozart and pink floyd and sondheim more than irving berlin or j lo or beethoven who is complex but everything feels supportive beneath one main melody,love
im scheduled to do my run today but i feel shaky and lethargic,exercise
